Freq.	V(n007)/V(n002)
1.13240036323556e+000	(-3.63605261811830e+001dB,1.46898760271029e+002°)
1.13501081567231e+000	(-3.63259120855310e+001dB,1.46835839027658e+002°)
1.13762728582343e+000	(-3.62913161900610e+001dB,1.46772845171240e+002°)
1.14024978756117e+000	(-3.62567385337862e+001dB,1.46709778856009e+002°)
1.14287833478977e+000	(-3.62221791556581e+001dB,1.46646640237384e+002°)
1.14551294144553e+000	(-3.61876380945442e+001dB,1.46583429471957e+002°)
1.14815362149688e+000	(-3.61531153892866e+001dB,1.46520146717526e+002°)
1.15080038894443e+000	(-3.61186110786011e+001dB,1.46456792133006e+002°)
1.15345325782109e+000	(-3.60841252011604e+001dB,1.46393365878506e+002°)
1.15611224219210e+000	(-3.60496577955788e+001dB,1.46329868115341e+002°)
1.15877735615512e+000	(-3.60152089003820e+001dB,1.46266299005977e+002°)
1.16144861384034e+000	(-3.59807785539941e+001dB,1.46202658714004e+002°)
1.16412602941049e+000	(-3.59463667948282e+001dB,1.46138947404271e+002°)
1.16680961706096e+000	(-3.59119736611272e+001dB,1.46075165242682e+002°)
1.16949939101987e+000	(-3.58775991911419e+001dB,1.46011312396422e+002°)
1.17219536554813e+000	(-3.58432434230100e+001dB,1.45947389033792e+002°)
1.17489755493953e+000	(-3.58089063947678e+001dB,1.45883395324225e+002°)
1.17760597352080e+000	(-3.57745881444105e+001dB,1.45819331438399e+002°)
1.18032063565173e+000	(-3.57402887098129e+001dB,1.45755197548078e+002°)
1.18304155572516e+000	(-3.57060081287885e+001dB,1.45690993826244e+002°)
1.18576874816716e+000	(-3.56717464390569e+001dB,1.45626720447007e+002°)
1.18850222743702e+000	(-3.56375036782528e+001dB,1.45562377585665e+002°)
1.19124200802737e+000	(-3.56032798839394e+001dB,1.45497965418671e+002°)
1.19398810446427e+000	(-3.55690750935449e+001dB,1.45433484123594e+002°)
1.19674053130724e+000	(-3.55348893444449e+001dB,1.45368933879196e+002°)
1.19949930314938e+000	(-3.55007226739516e+001dB,1.45304314865445e+002°)
1.20226443461741e+000	(-3.54665751192113e+001dB,1.45239627263355e+002°)
1.20503594037179e+000	(-3.54324467173360e+001dB,1.45174871255170e+002°)
1.20781383510678e+000	(-3.53983375053240e+001dB,1.45110047024270e+002°)
1.21059813355048e+000	(-3.53642475200721e+001dB,1.45045154755164e+002°)
1.21338885046497e+000	(-3.53301767983970e+001dB,1.44980194633542e+002°)
1.21618600064636e+000	(-3.52961253769805e+001dB,1.44915166846185e+002°)
1.21898959892486e+000	(-3.52620932924701e+001dB,1.44850071581097e+002°)
1.22179966016487e+000	(-3.52280805813427e+001dB,1.44784909027347e+002°)
1.22461619926504e+000	(-3.51940872800293e+001dB,1.44719679375206e+002°)
1.22743923115840e+000	(-3.51601134248324e+001dB,1.44654382816058e+002°)
1.23026877081238e+000	(-3.51261590519399e+001dB,1.44589019542391e+002°)
1.23310483322890e+000	(-3.50922241974709e+001dB,1.44523589747898e+002°)
1.23594743344451e+000	(-3.50583088974001e+001dB,1.44458093627341e+002°)
1.23879658653036e+000	(-3.50244131876269e+001dB,1.44392531376655e+002°)
1.24165230759241e+000	(-3.49905371039249e+001dB,1.44326903192880e+002°)
1.24451461177138e+000	(-3.49566806819611e+001dB,1.44261209274186e+002°)
1.24738351424294e+000	(-3.49228439572847e+001dB,1.44195449819855e+002°)
1.25025903021771e+000	(-3.48890269653691e+001dB,1.44129625030346e+002°)
1.25314117494141e+000	(-3.48552297415134e+001dB,1.44063735107140e+002°)
1.25602996369487e+000	(-3.48214523209737e+001dB,1.43997780252940e+002°)
1.25892541179416e+000	(-3.47876947388315e+001dB,1.43931760671479e+002°)
1.26182753459066e+000	(-3.47539570300930e+001dB,1.43865676567658e+002°)
1.26473634747115e+000	(-3.47202392296201e+001dB,1.43799528147436e+002°)
1.26765186585784e+000	(-3.46865413721706e+001dB,1.43733315617924e+002°)
1.27057410520854e+000	(-3.46528634923901e+001dB,1.43667039187326e+002°)
1.27350308101666e+000	(-3.46192056247737e+001dB,1.43600699064901e+002°)
1.27643880881134e+000	(-3.45855678037333e+001dB,1.43534295461067e+002°)
1.27938130415752e+000	(-3.45519500635322e+001dB,1.43467828587307e+002°)
1.28233058265602e+000	(-3.45183524383179e+001dB,1.43401298656206e+002°)
1.28528665994361e+000	(-3.44847749621117e+001dB,1.43334705881406e+002°)
1.28824955169313e+000	(-3.44512176688055e+001dB,1.43268050477665e+002°)
1.29121927361353e+000	(-3.44176805922088e+001dB,1.43201332660885e+002°)
1.29419584144998e+000	(-3.43841637658971e+001dB,1.43134552647861e+002°)
1.29717927098395e+000	(-3.43506672234164e+001dB,1.43067710656648e+002°)
1.30016957803328e+000	(-3.43171909981526e+001dB,1.43000806906313e+002°)
1.30316677845229e+000	(-3.42837351233386e+001dB,1.42933841616946e+002°)
1.30617088813183e+000	(-3.42502996320950e+001dB,1.42866815009762e+002°)
1.30918192299940e+000	(-3.42168845574232e+001dB,1.42799727307037e+002°)
1.31219989901920e+000	(-3.41834899321446e+001dB,1.42732578732051e+002°)
1.31522483219223e+000	(-3.41501157889662e+001dB,1.42665369509156e+002°)
1.31825673855640e+000	(-3.41167621604953e+001dB,1.42598099863834e+002°)
1.32129563418657e+000	(-3.40834290791479e+001dB,1.42530770022506e+002°)
1.32434153519466e+000	(-3.40501165772137e+001dB,1.42463380212682e+002°)
1.32739445772973e+000	(-3.40168246868628e+001dB,1.42395930662926e+002°)
1.33045441797808e+000	(-3.39835534400942e+001dB,1.42328421602810e+002°)
1.33352143216332e+000	(-3.39503028688026e+001dB,1.42260853262971e+002°)
1.33659551654643e+000	(-3.39170730046890e+001dB,1.42193225875021e+002°)
1.33967668742593e+000	(-3.38838638793439e+001dB,1.42125539671633e+002°)
1.34276496113786e+000	(-3.38506755242198e+001dB,1.42057794886525e+002°)
1.34586035405594e+000	(-3.38175079705749e+001dB,1.41989991754339e+002°)
1.34896288259164e+000	(-3.37843612495816e+001dB,1.41922130510840e+002°)
1.35207256319427e+000	(-3.37512353922190e+001dB,1.41854211392723e+002°)
1.35518941235103e+000	(-3.37181304293374e+001dB,1.41786234637727e+002°)
1.35831344658715e+000	(-3.36850463916045e+001dB,1.41718200484532e+002°)
1.36144468246594e+000	(-3.36519833095796e+001dB,1.41650109172876e+002°)
1.36458313658892e+000	(-3.36189412136439e+001dB,1.41581960943458e+002°)
1.36772882559584e+000	(-3.35859201340299e+001dB,1.41513756037964e+002°)
1.37088176616484e+000	(-3.35529201007994e+001dB,1.41445494699046e+002°)
1.37404197501251e+000	(-3.35199411438801e+001dB,1.41377177170346e+002°)
1.37720946889394e+000	(-3.34869832930205e+001dB,1.41308803696455e+002°)
1.38038426460288e+000	(-3.34540465778363e+001dB,1.41240374522983e+002°)
1.38356637897177e+000	(-3.34211310277612e+001dB,1.41171889896430e+002°)
1.38675582887188e+000	(-3.33882366720819e+001dB,1.41103350064306e+002°)
1.38995263121334e+000	(-3.33553635398888e+001dB,1.41034755275008e+002°)
1.39315680294529e+000	(-3.33225116601785e+001dB,1.40966105777973e+002°)
1.39636836105593e+000	(-3.32896810617100e+001dB,1.40897401823485e+002°)
1.39958732257261e+000	(-3.32568717731391e+001dB,1.40828643662838e+002°)
1.40281370456195e+000	(-3.32240838229081e+001dB,1.40759831548203e+002°)
1.40604752412990e+000	(-3.31913172393012e+001dB,1.40690965732669e+002°)
1.40928879842186e+000	(-3.31585720504519e+001dB,1.40622046470285e+002°)
1.41253754462274e+000	(-3.31258482843230e+001dB,1.40553074016008e+002°)
1.41579377995707e+000	(-3.30931459686977e+001dB,1.40484048625676e+002°)
1.41905752168908e+000	(-3.30604651311820e+001dB,1.40414970556056e+002°)
1.42232878712281e+000	(-3.30278057992333e+001dB,1.40345840064792e+002°)
1.42560759360218e+000	(-3.29951680001113e+001dB,1.40276657410440e+002°)
1.42889395851109e+000	(-3.29625517608996e+001dB,1.40207422852396e+002°)
1.43218789927353e+000	(-3.29299571085420e+001dB,1.40138136651015e+002°)
1.43548943335364e+000	(-3.28973840697825e+001dB,1.40068799067484e+002°)
1.43879857825583e+000	(-3.28648326711677e+001dB,1.39999410363814e+002°)
1.44211535152486e+000	(-3.28323029390854e+001dB,1.39929970802933e+002°)
1.44543977074592e+000	(-3.27997948997819e+001dB,1.39860480648660e+002°)
1.44877185354475e+000	(-3.27673085792490e+001dB,1.39790940165557e+002°)
1.45211161758773e+000	(-3.27348440033640e+001dB,1.39721349619144e+002°)
1.45545908058195e+000	(-3.27024011977707e+001dB,1.39651709275693e+002°)
1.45881426027534e+000	(-3.26699801879878e+001dB,1.39582019402393e+002°)
1.46217717445671e+000	(-3.26375809992701e+001dB,1.39512280267132e+002°)
1.46554784095590e+000	(-3.26052036567734e+001dB,1.39442492138765e+002°)
1.46892627764385e+000	(-3.25728481854103e+001dB,1.39372655286869e+002°)
1.47231250243271e+000	(-3.25405146099529e+001dB,1.39302769981879e+002°)
1.47570653327588e+000	(-3.25082029549292e+001dB,1.39232836494969e+002°)
1.47910838816819e+000	(-3.24759132447169e+001dB,1.39162855098167e+002°)
1.48251808514594e+000	(-3.24436455034919e+001dB,1.39092826064235e+002°)
1.48593564228699e+000	(-3.24113997552577e+001dB,1.39022749666781e+002°)
1.48936107771090e+000	(-3.23791760238045e+001dB,1.38952626180148e+002°)
1.49279440957898e+000	(-3.23469743327479e+001dB,1.38882455879447e+002°)
1.49623565609442e+000	(-3.23147947055077e+001dB,1.38812239040587e+002°)
1.49968483550236e+000	(-3.22826371652784e+001dB,1.38741975940143e+002°)
1.50314196609001e+000	(-3.22505017350987e+001dB,1.38671666855529e+002°)
1.50660706618673e+000	(-3.22183884378319e+001dB,1.38601312064909e+002°)
1.51008015416413e+000	(-3.21862972960674e+001dB,1.38530911847080e+002°)
1.51356124843619e+000	(-3.21542283322834e+001dB,1.38460466481686e+002°)
1.51705036745932e+000	(-3.21221815687015e+001dB,1.38389976248992e+002°)
1.52054752973248e+000	(-3.20901570273600e+001dB,1.38319441430037e+002°)
1.52405275379728e+000	(-3.20581547300934e+001dB,1.38248862306511e+002°)
1.52756605823806e+000	(-3.20261746985878e+001dB,1.38178239160928e+002°)
1.53108746168202e+000	(-3.19942169542336e+001dB,1.38107572276310e+002°)
1.53461698279928e+000	(-3.19622815183102e+001dB,1.38036861936536e+002°)
1.53815464030302e+000	(-3.19303684118290e+001dB,1.37966108426039e+002°)
1.54170045294954e+000	(-3.18984776556331e+001dB,1.37895312029991e+002°)
1.54525443953840e+000	(-3.18666092703640e+001dB,1.37824473034225e+002°)
1.54881661891247e+000	(-3.18347632764437e+001dB,1.37753591725204e+002°)
1.55238700995807e+000	(-3.18029396940600e+001dB,1.37682668390001e+002°)
1.55596563160506e+000	(-3.17711385432590e+001dB,1.37611703316431e+002°)
1.55955250282694e+000	(-3.17393598438331e+001dB,1.37540696792857e+002°)
1.56314764264094e+000	(-3.17076036153848e+001dB,1.37469649108320e+002°)
1.56675107010813e+000	(-3.16758698773033e+001dB,1.37398560552451e+002°)
1.57036280433354e+000	(-3.16441586487571e+001dB,1.37327431415477e+002°)
1.57398286446620e+000	(-3.16124699487266e+001dB,1.37256261988276e+002°)
1.57761126969933e+000	(-3.15808037959696e+001dB,1.37185052562282e+002°)
1.58124803927037e+000	(-3.15491602090386e+001dB,1.37113803429544e+002°)
1.58489319246110e+000	(-3.15175392062372e+001dB,1.37042514882621e+002°)
1.58854674859776e+000	(-3.14859408057232e+001dB,1.36971187214753e+002°)
1.59220872705115e+000	(-3.14543650253791e+001dB,1.36899820719655e+002°)
1.59587914723672e+000	(-3.14228118829225e+001dB,1.36828415691652e+002°)
1.59955802861465e+000	(-3.13912813958070e+001dB,1.36756972425567e+002°)
1.60324539069002e+000	(-3.13597735813035e+001dB,1.36685491216811e+002°)
1.60694125301286e+000	(-3.13282884564787e+001dB,1.36613972361316e+002°)
1.61064563517825e+000	(-3.12968260381223e+001dB,1.36542416155473e+002°)
1.61435855682647e+000	(-3.12653863428888e+001dB,1.36470822896317e+002°)
1.61808003764305e+000	(-3.12339693871397e+001dB,1.36399192881252e+002°)
1.62181009735891e+000	(-3.12025751870664e+001dB,1.36327526408275e+002°)
1.62554875575047e+000	(-3.11712037586172e+001dB,1.36255823775832e+002°)
1.62929603263970e+000	(-3.11398551175377e+001dB,1.36184085282875e+002°)
1.63305194789432e+000	(-3.11085292793501e+001dB,1.36112311228838e+002°)
1.63681652142779e+000	(-3.10772262593096e+001dB,1.36040501913536e+002°)
1.64058977319952e+000	(-3.10459460725231e+001dB,1.35968657637350e+002°)
1.64437172321491e+000	(-3.10146887338546e+001dB,1.35896778701099e+002°)
1.64816239152549e+000	(-3.09834542578789e+001dB,1.35824865405922e+002°)
1.65196179822900e+000	(-3.09522426590429e+001dB,1.35752918053547e+002°)
1.65576996346951e+000	(-3.09210539515077e+001dB,1.35680936946032e+002°)
1.65958690743754e+000	(-3.08898881492353e+001dB,1.35608922385877e+002°)
1.66341265037015e+000	(-3.08587452659761e+001dB,1.35536874676027e+002°)
1.66724721255104e+000	(-3.08276253151927e+001dB,1.35464794119707e+002°)
1.67109061431069e+000	(-3.07965283102104e+001dB,1.35392681020689e+002°)
1.67494287602642e+000	(-3.07654542640436e+001dB,1.35320535682973e+002°)
1.67880401812254e+000	(-3.07344031895470e+001dB,1.35248358411064e+002°)
1.68267406107045e+000	(-3.07033750992970e+001dB,1.35176149509719e+002°)
1.68655302538872e+000	(-3.06723700056795e+001dB,1.35103909284134e+002°)
1.69044093164324e+000	(-3.06413879208276e+001dB,1.35031638039800e+002°)
1.69433780044731e+000	(-3.06104288566760e+001dB,1.34959336082599e+002°)
1.69824365246172e+000	(-3.05794928248746e+001dB,1.34887003718631e+002°)
1.70215850839493e+000	(-3.05485798369037e+001dB,1.34814641254443e+002°)
1.70608238900310e+000	(-3.05176899039929e+001dB,1.34742248996845e+002°)
1.71001531509027e+000	(-3.04868230371170e+001dB,1.34669827252905e+002°)
1.71395730750840e+000	(-3.04559792470667e+001dB,1.34597376330054e+002°)
1.71790838715757e+000	(-3.04251585443303e+001dB,1.34524896535912e+002°)
1.72186857498599e+000	(-3.03943609392706e+001dB,1.34452388178532e+002°)
1.72583789199018e+000	(-3.03635864419149e+001dB,1.34379851566059e+002°)
1.72981635921508e+000	(-3.03328350621034e+001dB,1.34307287006976e+002°)
1.73380399775412e+000	(-3.03021068094550e+001dB,1.34234694810040e+002°)
1.73780082874935e+000	(-3.02714016933277e+001dB,1.34162075284174e+002°)
1.74180687339159e+000	(-3.02407197228841e+001dB,1.34089428738625e+002°)
1.74582215292048e+000	(-3.02100609070010e+001dB,1.34016755482759e+002°)
1.74984668862464e+000	(-3.01794252543676e+001dB,1.33944055826214e+002°)
1.75388050184174e+000	(-3.01488127734166e+001dB,1.33871330078825e+002°)
1.75792361395867e+000	(-3.01182234723518e+001dB,1.33798578550610e+002°)
1.76197604641161e+000	(-3.00876573591380e+001dB,1.33725801551761e+002°)
1.76603782068614e+000	(-3.00571144415101e+001dB,1.33652999392658e+002°)
1.77010895831740e+000	(-3.00265947269770e+001dB,1.33580172383875e+002°)
1.77418948089014e+000	(-2.99960982227792e+001dB,1.33507320836056e+002°)
1.77827941003890e+000	(-2.99656249359677e+001dB,1.33434445060103e+002°)
1.78237876744807e+000	(-2.99351748733127e+001dB,1.33361545366958e+002°)
1.78648757485203e+000	(-2.99047480413834e+001dB,1.33288622067756e+002°)
1.79060585403527e+000	(-2.98743444464972e+001dB,1.33215675473734e+002°)
1.79473362683250e+000	(-2.98439640947152e+001dB,1.33142705896196e+002°)
1.79887091512876e+000	(-2.98136069919080e+001dB,1.33069713646615e+002°)
1.80301774085955e+000	(-2.97832731436780e+001dB,1.32996699036524e+002°)
1.80717412601090e+000	(-2.97529625554012e+001dB,1.32923662377542e+002°)
1.81134009261958e+000	(-2.97226752322002e+001dB,1.32850603981343e+002°)
1.81551566277311e+000	(-2.96924111789711e+001dB,1.32777524159671e+002°)
1.81970085860996e+000	(-2.96621704003941e+001dB,1.32704423224357e+002°)
1.82389570231961e+000	(-2.96319529008551e+001dB,1.32631301487202e+002°)
1.82810021614272e+000	(-2.96017586845827e+001dB,1.32558159260166e+002°)
1.83231442237119e+000	(-2.95715877554924e+001dB,1.32484996855100e+002°)
1.83653834334832e+000	(-2.95414401173021e+001dB,1.32411814583946e+002°)
1.84077200146893e+000	(-2.95113157734840e+001dB,1.32338612758630e+002°)
1.84501541917945e+000	(-2.94812147272527e+001dB,1.32265391691079e+002°)
1.84926861897805e+000	(-2.94511369816453e+001dB,1.32192151693255e+002°)
1.85353162341479e+000	(-2.94210825393676e+001dB,1.32118893076985e+002°)
1.85780445509167e+000	(-2.93910514029847e+001dB,1.32045616154206e+002°)
1.86208713666284e+000	(-2.93610435747432e+001dB,1.31972321236702e+002°)
1.86637969083464e+000	(-2.93310590567036e+001dB,1.31899008636265e+002°)
1.87068214036577e+000	(-2.93010978506542e+001dB,1.31825678664590e+002°)
1.87499450806739e+000	(-2.92711599581728e+001dB,1.31752331633352e+002°)
1.87931681680324e+000	(-2.92412453805929e+001dB,1.31678967854133e+002°)
1.88364908948977e+000	(-2.92113541189852e+001dB,1.31605587638385e+002°)
1.88799134909627e+000	(-2.91814861742067e+001dB,1.31532191297503e+002°)
1.89234361864495e+000	(-2.91516415468841e+001dB,1.31458779142792e+002°)
1.89670592121112e+000	(-2.91218202373883e+001dB,1.31385351485411e+002°)
1.90107827992327e+000	(-2.90920222458441e+001dB,1.31311908636382e+002°)
1.90546071796322e+000	(-2.90622475721581e+001dB,1.31238450906628e+002°)
1.90985325856621e+000	(-2.90324962159841e+001dB,1.31164978606883e+002°)
1.91425592502106e+000	(-2.90027681767690e+001dB,1.31091492047814e+002°)
1.91866874067026e+000	(-2.89730634536790e+001dB,1.31017991539831e+002°)
1.92309172891013e+000	(-2.89433820456660e+001dB,1.30944477393200e+002°)
1.92752491319091e+000	(-2.89137239514480e+001dB,1.30870949918039e+002°)
1.93196831701690e+000	(-2.88840891694919e+001dB,1.30797409424233e+002°)
1.93642196394658e+000	(-2.88544776980417e+001dB,1.30723856221493e+002°)
1.94088587759275e+000	(-2.88248895351045e+001dB,1.30650290619335e+002°)
1.94536008162263e+000	(-2.87953246784315e+001dB,1.30576712927000e+002°)
1.94984459975802e+000	(-2.87657831255538e+001dB,1.30503123453545e+002°)
1.95433945577537e+000	(-2.87362648737554e+001dB,1.30429522507763e+002°)
1.95884467350596e+000	(-2.87067699201077e+001dB,1.30355910398242e+002°)
1.96336027683602e+000	(-2.86772982614159e+001dB,1.30282287433262e+002°)
1.96788628970682e+000	(-2.86478498942740e+001dB,1.30208653920886e+002°)
1.97242273611482e+000	(-2.86184248150300e+001dB,1.30135010168871e+002°)
1.97696964011183e+000	(-2.85890230197930e+001dB,1.30061356484702e+002°)
1.98152702580507e+000	(-2.85596445044353e+001dB,1.29987693175544e+002°)
1.98609491735734e+000	(-2.85302892646108e+001dB,1.29914020548297e+002°)
1.99067333898716e+000	(-2.85009572957209e+001dB,1.29840338909533e+002°)
1.99526231496885e+000	(-2.84716485929433e+001dB,1.29766648565488e+002°)
1.99986186963271e+000	(-2.84423631512232e+001dB,1.29692949822105e+002°)
2.00447202736513e+000	(-2.84131009652678e+001dB,1.29619242984953e+002°)
2.00909281260870e+000	(-2.83838620295416e+001dB,1.29545528359253e+002°)
2.01372424986236e+000	(-2.83546463382992e+001dB,1.29471806249897e+002°)
2.01836636368153e+000	(-2.83254538855336e+001dB,1.29398076961359e+002°)
2.02301917867824e+000	(-2.82962846650394e+001dB,1.29324340797801e+002°)
2.02768271952125e+000	(-2.82671386703657e+001dB,1.29250598062968e+002°)
2.03235701093619e+000	(-2.82380158948023e+001dB,1.29176849060172e+002°)
2.03704207770569e+000	(-2.82089163314411e+001dB,1.29103094092371e+002°)
2.04173794466950e+000	(-2.81798399731610e+001dB,1.29029333462154e+002°)
2.04644463672464e+000	(-2.81507868125482e+001dB,1.28955567471550e+002°)
2.05116217882553e+000	(-2.81217568419985e+001dB,1.28881796422265e+002°)
2.05589059598411e+000	(-2.80927500536904e+001dB,1.28808020615555e+002°)
2.06062991326997e+000	(-2.80637664395518e+001dB,1.28734240352195e+002°)
2.06538015581050e+000	(-2.80348059912902e+001dB,1.28660455932534e+002°)
2.07014134879101e+000	(-2.80058687003794e+001dB,1.28586667656422e+002°)
2.07491351745488e+000	(-2.79769545580680e+001dB,1.28512875823259e+002°)
2.07969668710366e+000	(-2.79480635553651e+001dB,1.28439080731921e+002°)
2.08449088309726e+000	(-2.79191956830866e+001dB,1.28365282680856e+002°)
2.08929613085401e+000	(-2.78903509318013e+001dB,1.28291481967972e+002°)
2.09411245585086e+000	(-2.78615292918408e+001dB,1.28217678890652e+002°)
2.09893988362349e+000	(-2.78327307533164e+001dB,1.28143873745756e+002°)
2.10377843976644e+000	(-2.78039553061349e+001dB,1.28070066829671e+002°)
2.10862814993326e+000	(-2.77752029399800e+001dB,1.27996258438216e+002°)
2.11348903983661e+000	(-2.77464736442539e+001dB,1.27922448866596e+002°)
2.11836113524847e+000	(-2.77177674082117e+001dB,1.27848638409574e+002°)
2.12324446200018e+000	(-2.76890842208441e+001dB,1.27774827361289e+002°)
2.12813904598268e+000	(-2.76604240709252e+001dB,1.27701016015305e+002°)
2.13304491314654e+000	(-2.76317869470092e+001dB,1.27627204664617e+002°)
2.13796208950220e+000	(-2.76031728374553e+001dB,1.27553393601671e+002°)
2.14289060112002e+000	(-2.75745817303454e+001dB,1.27479583118222e+002°)
2.14783047413050e+000	(-2.75460136135897e+001dB,1.27405773505498e+002°)
2.15278173472434e+000	(-2.75174684748697e+001dB,1.27331965054092e+002°)
2.15774440915263e+000	(-2.74889463016260e+001dB,1.27258158053944e+002°)
2.16271852372698e+000	(-2.74604470811086e+001dB,1.27184352794412e+002°)
2.16770410481966e+000	(-2.74319708003503e+001dB,1.27110549564192e+002°)
2.17270117886371e+000	(-2.74035174461382e+001dB,1.27036748651304e+002°)
2.17770977235312e+000	(-2.73750870050615e+001dB,1.26962950343136e+002°)
2.18272991184296e+000	(-2.73466794634964e+001dB,1.26889154926420e+002°)
2.18776162394952e+000	(-2.73182948076195e+001dB,1.26815362687223e+002°)
2.19280493535041e+000	(-2.72899330233632e+001dB,1.26741573910904e+002°)
2.19785987278479e+000	(-2.72615940964678e+001dB,1.26667788882153e+002°)
2.20292646305342e+000	(-2.72332780124454e+001dB,1.26594007884937e+002°)
2.20800473301886e+000	(-2.72049847565943e+001dB,1.26520231202523e+002°)
2.21309470960560e+000	(-2.71767143140464e+001dB,1.26446459117526e+002°)
2.21819641980018e+000	(-2.71484666696490e+001dB,1.26372691911735e+002°)
2.22330989065136e+000	(-2.71202418080996e+001dB,1.26298929866291e+002°)
2.22843514927026e+000	(-2.70920397138623e+001dB,1.26225173261561e+002°)
2.23357222283049e+000	(-2.70638603711932e+001dB,1.26151422377171e+002°)
2.23872113856830e+000	(-2.70357037641515e+001dB,1.26077677492014e+002°)
2.24388192378273e+000	(-2.70075698765791e+001dB,1.26003938884207e+002°)
2.24905460583574e+000	(-2.69794586921129e+001dB,1.25930206831086e+002°)
2.25423921215239e+000	(-2.69513701941881e+001dB,1.25856481609228e+002°)
2.25943577022094e+000	(-2.69233043660421e+001dB,1.25782763494424e+002°)
2.26464430759302e+000	(-2.68952611906981e+001dB,1.25709052761675e+002°)
2.26986485188378e+000	(-2.68672406509691e+001dB,1.25635349685166e+002°)
2.27509743077203e+000	(-2.68392427294681e+001dB,1.25561654538264e+002°)
