Freq.	V(n007)
1.06414301822431e+000	(-3.73052221443787e+001dB,1.48568958903952e+002°)
1.06659612123026e+000	(-3.72701315006783e+001dB,1.48508050124396e+002°)
1.06905487922266e+000	(-3.72350579818911e+001dB,1.48447065003544e+002°)
1.07151930523761e+000	(-3.72000016284982e+001dB,1.48386003664027e+002°)
1.07398941234124e+000	(-3.71649624808369e+001dB,1.48324866229503e+002°)
1.07646521362983e+000	(-3.71299405793139e+001dB,1.48263652824941e+002°)
1.07894672222983e+000	(-3.70949359641951e+001dB,1.48202363576353e+002°)
1.08143395129794e+000	(-3.70599486757837e+001dB,1.48140998611023e+002°)
1.08392691402120e+000	(-3.70249787543205e+001dB,1.48079558057372e+002°)
1.08642562361706e+000	(-3.69900262399497e+001dB,1.48018042044920e+002°)
1.08893009333343e+000	(-3.69550911728431e+001dB,1.47956450704455e+002°)
1.09144033644876e+000	(-3.69201735930937e+001dB,1.47894784167898e+002°)
1.09395636627209e+000	(-3.68852735407292e+001dB,1.47833042568310e+002°)
1.09647819614318e+000	(-3.68503910557706e+001dB,1.47771226039980e+002°)
1.09900583943252e+000	(-3.68155261781546e+001dB,1.47709334718329e+002°)
1.10153930954141e+000	(-3.67806789477911e+001dB,1.47647368739971e+002°)
1.10407861990207e+000	(-3.67458494045294e+001dB,1.47585328242692e+002°)
1.10662378397766e+000	(-3.67110375881610e+001dB,1.47523213365436e+002°)
1.10917481526240e+000	(-3.66762435384406e+001dB,1.47461024248352e+002°)
1.11173172728159e+000	(-3.66414672950498e+001dB,1.47398761032724e+002°)
1.11429453359173e+000	(-3.66067088976263e+001dB,1.47336423861044e+002°)
1.11686324778056e+000	(-3.65719683857351e+001dB,1.47274012876944e+002°)
1.11943788346715e+000	(-3.65372457989110e+001dB,1.47211528225275e+002°)
1.12201845430196e+000	(-3.65025411766217e+001dB,1.47148970052042e+002°)
1.12460497396692e+000	(-3.64678545582394e+001dB,1.47086338504389e+002°)
1.12719745617551e+000	(-3.64331859831397e+001dB,1.47023633730714e+002°)
1.12979591467280e+000	(-3.63985354905742e+001dB,1.46960855880508e+002°)
1.13240036323556e+000	(-3.63639031197857e+001dB,1.46898005104509e+002°)
1.13501081567231e+000	(-3.63292889098962e+001dB,1.46835081554563e+002°)
1.13762728582343e+000	(-3.62946929000199e+001dB,1.46772085383747e+002°)
1.14024978756117e+000	(-3.62601151291587e+001dB,1.46709016746273e+002°)
1.14287833478977e+000	(-3.62255556362699e+001dB,1.46645875797539e+002°)
1.14551294144553e+000	(-3.61910144602505e+001dB,1.46582662694142e+002°)
1.14815362149688e+000	(-3.61564916398912e+001dB,1.46519377593792e+002°)
1.15080038894443e+000	(-3.61219872139417e+001dB,1.46456020655418e+002°)
1.15345325782109e+000	(-3.60875012210982e+001dB,1.46392592039143e+002°)
1.15611224219210e+000	(-3.60530336999370e+001dB,1.46329091906200e+002°)
1.15877735615512e+000	(-3.60185846889809e+001dB,1.46265520419024e+002°)
1.16144861384034e+000	(-3.59841542267021e+001dB,1.46201877741247e+002°)
1.16412602941049e+000	(-3.59497423514432e+001dB,1.46138164037599e+002°)
1.16680961706096e+000	(-3.59153491015346e+001dB,1.46074379474063e+002°)
1.16949939101987e+000	(-3.58809745151689e+001dB,1.46010524217734e+002°)
1.17219536554813e+000	(-3.58466186304904e+001dB,1.45946598436885e+002°)
1.17489755493953e+000	(-3.58122814855638e+001dB,1.45882602300971e+002°)
1.17760597352080e+000	(-3.57779631183411e+001dB,1.45818535980581e+002°)
1.18032063565173e+000	(-3.57436635667457e+001dB,1.45754399647515e+002°)
1.18304155572516e+000	(-3.57093828685660e+001dB,1.45690193474693e+002°)
1.18576874816716e+000	(-3.56751210615407e+001dB,1.45625917636240e+002°)
1.18850222743702e+000	(-3.56408781833013e+001dB,1.45561572307401e+002°)
1.19124200802737e+000	(-3.56066542713594e+001dB,1.45497157664543e+002°)
1.19398810446427e+000	(-3.55724493632341e+001dB,1.45432673885329e+002°)
1.19674053130724e+000	(-3.55382634962598e+001dB,1.45368121148453e+002°)
1.19949930314938e+000	(-3.55040967077302e+001dB,1.45303499633808e+002°)
1.20226443461741e+000	(-3.54699490348218e+001dB,1.45238809522437e+002°)
1.20503594037179e+000	(-3.54358205146398e+001dB,1.45174050996550e+002°)
1.20781383510678e+000	(-3.54017111841753e+001dB,1.45109224239478e+002°)
1.21059813355048e+000	(-3.53676210803432e+001dB,1.45044329435742e+002°)
1.21338885046497e+000	(-3.53335502399417e+001dB,1.44979366770963e+002°)
1.21618600064636e+000	(-3.52994986996806e+001dB,1.44914336431950e+002°)
1.21898959892486e+000	(-3.52654664961686e+001dB,1.44849238606618e+002°)
1.22179966016487e+000	(-3.52314536659341e+001dB,1.44784073484086e+002°)
1.22461619926504e+000	(-3.51974602453655e+001dB,1.44718841254527e+002°)
1.22743923115840e+000	(-3.51634862707996e+001dB,1.44653542109355e+002°)
1.23026877081238e+000	(-3.51295317784048e+001dB,1.44588176241005e+002°)
1.23310483322890e+000	(-3.50955968043013e+001dB,1.44522743843140e+002°)
1.23594743344451e+000	(-3.50616813844948e+001dB,1.44457245110543e+002°)
1.23879658653036e+000	(-3.50277855548434e+001dB,1.44391680239058e+002°)
1.24165230759241e+000	(-3.49939093511570e+001dB,1.44326049425743e+002°)
1.24451461177138e+000	(-3.49600528090754e+001dB,1.44260352868720e+002°)
1.24738351424294e+000	(-3.49262159641855e+001dB,1.44194590767283e+002°)
1.25025903021771e+000	(-3.48923988519244e+001dB,1.44128763321822e+002°)
1.25314117494141e+000	(-3.48586015076243e+001dB,1.44062870733824e+002°)
1.25602996369487e+000	(-3.48248239665231e+001dB,1.43996913205950e+002°)
1.25892541179416e+000	(-3.47910662636996e+001dB,1.43930890941897e+002°)
1.26182753459066e+000	(-3.47573284341690e+001dB,1.43864804146554e+002°)
1.26473634747115e+000	(-3.47236105128047e+001dB,1.43798653025873e+002°)
1.26765186585784e+000	(-3.46899125343671e+001dB,1.43732437786926e+002°)
1.27057410520854e+000	(-3.46562345334863e+001dB,1.43666158637879e+002°)
1.27350308101666e+000	(-3.46225765446835e+001dB,1.43599815788000e+002°)
1.27643880881134e+000	(-3.45889386023282e+001dB,1.43533409447618e+002°)
1.27938130415752e+000	(-3.45553207407389e+001dB,1.43466939828270e+002°)
1.28233058265602e+000	(-3.45217229940292e+001dB,1.43400407142446e+002°)
1.28528665994361e+000	(-3.44881453962364e+001dB,1.43333811603811e+002°)
1.28824955169313e+000	(-3.44545879812614e+001dB,1.43267153427090e+002°)
1.29121927361353e+000	(-3.44210507828758e+001dB,1.43200432828106e+002°)
1.29419584144998e+000	(-3.43875338347135e+001dB,1.43133650023719e+002°)
1.29717927098395e+000	(-3.43540371702937e+001dB,1.43066805231905e+002°)
1.30016957803328e+000	(-3.43205608230029e+001dB,1.42999898671708e+002°)
1.30316677845229e+000	(-3.42871048260797e+001dB,1.42932930563205e+002°)
1.30617088813183e+000	(-3.42536692126415e+001dB,1.42865901127564e+002°)
1.30918192299940e+000	(-3.42202540156810e+001dB,1.42798810587035e+002°)
1.31219989901920e+000	(-3.41868592680546e+001dB,1.42731659164910e+002°)
1.31522483219223e+000	(-3.41534850024640e+001dB,1.42664447085511e+002°)
1.31825673855640e+000	(-3.41201312514882e+001dB,1.42597174574246e+002°)
1.32129563418657e+000	(-3.40867980475595e+001dB,1.42529841857548e+002°)
1.32434153519466e+000	(-3.40534854229862e+001dB,1.42462449162907e+002°)
1.32739445772973e+000	(-3.40201934099181e+001dB,1.42394996718833e+002°)
1.33045441797808e+000	(-3.39869220403802e+001dB,1.42327484754909e+002°)
1.33352143216332e+000	(-3.39536713462274e+001dB,1.42259913501686e+002°)
1.33659551654643e+000	(-3.39204413592266e+001dB,1.42192283190848e+002°)
1.33967668742593e+000	(-3.38872321109202e+001dB,1.42124594054969e+002°)
1.34276496113786e+000	(-3.38540436327696e+001dB,1.42056846327738e+002°)
1.34586035405594e+000	(-3.38208759560560e+001dB,1.41989040243816e+002°)
1.34896288259164e+000	(-3.37877291119327e+001dB,1.41921176038913e+002°)
1.35207256319427e+000	(-3.37546031313813e+001dB,1.41853253949694e+002°)
1.35518941235103e+000	(-3.37214980452629e+001dB,1.41785274213885e+002°)
1.35831344658715e+000	(-3.36884138842575e+001dB,1.41717237070154e+002°)
1.36144468246594e+000	(-3.36553506789107e+001dB,1.41649142758195e+002°)
1.36458313658892e+000	(-3.36223084596070e+001dB,1.41580991518679e+002°)
1.36772882559584e+000	(-3.35892872565795e+001dB,1.41512783593272e+002°)
1.37088176616484e+000	(-3.35562870998969e+001dB,1.41444519224597e+002°)
1.37404197501251e+000	(-3.35233080194918e+001dB,1.41376198656282e+002°)
1.37720946889394e+000	(-3.34903500451154e+001dB,1.41307822132900e+002°)
1.38038426460288e+000	(-3.34574132063794e+001dB,1.41239389900004e+002°)
1.38356637897177e+000	(-3.34244975327129e+001dB,1.41170902204079e+002°)
1.38675582887188e+000	(-3.33916030534219e+001dB,1.41102359292630e+002°)
1.38995263121334e+000	(-3.33587297976046e+001dB,1.41033761414029e+002°)
1.39315680294529e+000	(-3.33258777942438e+001dB,1.40965108817676e+002°)
1.39636836105593e+000	(-3.32930470720921e+001dB,1.40896401753810e+002°)
1.39958732257261e+000	(-3.32602376598115e+001dB,1.40827640473704e+002°)
1.40281370456195e+000	(-3.32274495858555e+001dB,1.40758825229521e+002°)
1.40604752412990e+000	(-3.31946828785201e+001dB,1.40689956274336e+002°)
1.40928879842186e+000	(-3.31619375659372e+001dB,1.40621033862169e+002°)
1.41253754462274e+000	(-3.31292136760505e+001dB,1.40552058247918e+002°)
1.41579377995707e+000	(-3.30965112366579e+001dB,1.40483029687424e+002°)
1.41905752168908e+000	(-3.30638302753749e+001dB,1.40413948437416e+002°)
1.42232878712281e+000	(-3.30311708196602e+001dB,1.40344814755537e+002°)
1.42560759360218e+000	(-3.29985328967603e+001dB,1.40275628900277e+002°)
1.42889395851109e+000	(-3.29659165337849e+001dB,1.40206391131049e+002°)
1.43218789927353e+000	(-3.29333217576597e+001dB,1.40137101708150e+002°)
1.43548943335364e+000	(-3.29007485951385e+001dB,1.40067760892757e+002°)
1.43879857825583e+000	(-3.28681970727701e+001dB,1.39998368946848e+002°)
1.44211535152486e+000	(-3.28356672169571e+001dB,1.39928926133352e+002°)
1.44543977074592e+000	(-3.28031590539171e+001dB,1.39859432716008e+002°)
1.44877185354475e+000	(-3.27706726096789e+001dB,1.39789888959416e+002°)
1.45211161758773e+000	(-3.27382079100977e+001dB,1.39720295129020e+002°)
1.45545908058195e+000	(-3.27057649808543e+001dB,1.39650651491128e+002°)
1.45881426027534e+000	(-3.26733438473937e+001dB,1.39580958312790e+002°)
1.46217717445671e+000	(-3.26409445350757e+001dB,1.39511215862019e+002°)
1.46554784095590e+000	(-3.26085670689901e+001dB,1.39441424407540e+002°)
1.46892627764385e+000	(-3.25762114740743e+001dB,1.39371584218944e+002°)
1.47231250243271e+000	(-3.25438777750698e+001dB,1.39301695566586e+002°)
1.47570653327588e+000	(-3.25115659965528e+001dB,1.39231758721692e+002°)
1.47910838816819e+000	(-3.24792761628954e+001dB,1.39161773956233e+002°)
1.48251808514594e+000	(-3.24470082982641e+001dB,1.39091741542952e+002°)
1.48593564228699e+000	(-3.24147624266619e+001dB,1.39021661755415e+002°)
1.48936107771090e+000	(-3.23825385718953e+001dB,1.38951534867951e+002°)
1.49279440957898e+000	(-3.23503367575632e+001dB,1.38881361155640e+002°)
1.49623565609442e+000	(-3.23181570070789e+001dB,1.38811140894333e+002°)
1.49968483550236e+000	(-3.22859993436938e+001dB,1.38740874360676e+002°)
1.50314196609001e+000	(-3.22538637904170e+001dB,1.38670561831992e+002°)
1.50660706618673e+000	(-3.22217503700956e+001dB,1.38600203586408e+002°)
1.51008015416413e+000	(-3.21896591053490e+001dB,1.38529799902730e+002°)
1.51356124843619e+000	(-3.21575900186280e+001dB,1.38459351060527e+002°)
1.51705036745932e+000	(-3.21255431321794e+001dB,1.38388857340089e+002°)
1.52054752973248e+000	(-3.20935184680633e+001dB,1.38318319022435e+002°)
1.52405275379728e+000	(-3.20615160480965e+001dB,1.38247736389219e+002°)
1.52756605823806e+000	(-3.20295358939377e+001dB,1.38177109722876e+002°)
1.53108746168202e+000	(-3.19975780270393e+001dB,1.38106439306502e+002°)
1.53461698279928e+000	(-3.19656424686302e+001dB,1.38035725423854e+002°)
1.53815464030302e+000	(-3.19337292397527e+001dB,1.37964968359395e+002°)
1.54170045294954e+000	(-3.19018383612590e+001dB,1.37894168398273e+002°)
1.54525443953840e+000	(-3.18699698537617e+001dB,1.37823325826261e+002°)
1.54881661891247e+000	(-3.18381237377035e+001dB,1.37752440929812e+002°)
1.55238700995807e+000	(-3.18063000332973e+001dB,1.37681513996016e+002°)
1.55596563160506e+000	(-3.17744987605612e+001dB,1.37610545312613e+002°)
1.55955250282694e+000	(-3.17427199393000e+001dB,1.37539535167955e+002°)
1.56314764264094e+000	(-3.17109635891237e+001dB,1.37468483851065e+002°)
1.56675107010813e+000	(-3.16792297294147e+001dB,1.37397391651541e+002°)
1.57036280433354e+000	(-3.16475183793550e+001dB,1.37326258859595e+002°)
1.57398286446620e+000	(-3.16158295579179e+001dB,1.37255085766061e+002°)
1.57761126969933e+000	(-3.15841632838755e+001dB,1.37183872662381e+002°)
1.58124803927037e+000	(-3.15525195757603e+001dB,1.37112619840528e+002°)
1.58489319246110e+000	(-3.15208984519318e+001dB,1.37041327593130e+002°)
1.58854674859776e+000	(-3.14892999304655e+001dB,1.36969996213260e+002°)
1.59220872705115e+000	(-3.14577240293359e+001dB,1.36898625994751e+002°)
1.59587914723672e+000	(-3.14261707661956e+001dB,1.36827217231803e+002°)
1.59955802861465e+000	(-3.13946401585545e+001dB,1.36755770219297e+002°)
1.60324539069002e+000	(-3.13631322236457e+001dB,1.36684285252538e+002°)
1.60694125301286e+000	(-3.13316469785410e+001dB,1.36612762627466e+002°)
1.61064563517825e+000	(-3.13001844400687e+001dB,1.36541202640486e+002°)
1.61435855682647e+000	(-3.12687446248418e+001dB,1.36469605588537e+002°)
1.61808003764305e+000	(-3.12373275492683e+001dB,1.36397971769071e+002°)
1.62181009735891e+000	(-3.12059332295115e+001dB,1.36326301480011e+002°)
1.62554875575047e+000	(-3.11745616815324e+001dB,1.36254595019799e+002°)
1.62929603263970e+000	(-3.11432129210694e+001dB,1.36182852687342e+002°)
1.63305194789432e+000	(-3.11118869636635e+001dB,1.36111074782075e+002°)
1.63681652142779e+000	(-3.10805838245635e+001dB,1.36039261603763e+002°)
1.64058977319952e+000	(-3.10493035188899e+001dB,1.35967413452800e+002°)
1.64437172321491e+000	(-3.10180460614865e+001dB,1.35895530629938e+002°)
1.64816239152549e+000	(-3.09868114669691e+001dB,1.35823613436343e+002°)
1.65196179822900e+000	(-3.09555997497577e+001dB,1.35751662173677e+002°)
1.65576996346951e+000	(-3.09244109240252e+001dB,1.35679677143980e+002°)
1.65958690743754e+000	(-3.08932450037331e+001dB,1.35607658649739e+002°)
1.66341265037015e+000	(-3.08621020026266e+001dB,1.35535606993843e+002°)
1.66724721255104e+000	(-3.08309819342082e+001dB,1.35463522479563e+002°)
1.67109061431069e+000	(-3.07998848117616e+001dB,1.35391405410570e+002°)
1.67494287602642e+000	(-3.07688106483280e+001dB,1.35319256090884e+002°)
1.67880401812254e+000	(-3.07377594567552e+001dB,1.35247074824965e+002°)
1.68267406107045e+000	(-3.07067312496397e+001dB,1.35174861917576e+002°)
1.68655302538872e+000	(-3.06757260393466e+001dB,1.35102617673849e+002°)
1.69044093164324e+000	(-3.06447438380318e+001dB,1.35030342399277e+002°)
1.69433780044731e+000	(-3.06137846576258e+001dB,1.34958036399710e+002°)
1.69824365246172e+000	(-3.05828485097849e+001dB,1.34885699981237e+002°)
1.70215850839493e+000	(-3.05519354059926e+001dB,1.34813333450378e+002°)
1.70608238900310e+000	(-3.05210453574641e+001dB,1.34740937113883e+002°)
1.71001531509027e+000	(-3.04901783752077e+001dB,1.34668511278850e+002°)
1.71395730750840e+000	(-3.04593344699850e+001dB,1.34596056252639e+002°)
1.71790838715757e+000	(-3.04285136523323e+001dB,1.34523572342910e+002°)
1.72186857498599e+000	(-3.03977159325539e+001dB,1.34451059857595e+002°)
1.72583789199018e+000	(-3.03669413207374e+001dB,1.34378519104906e+002°)
1.72981635921508e+000	(-3.03361898266917e+001dB,1.34305950393258e+002°)
1.73380399775412e+000	(-3.03054614600537e+001dB,1.34233354031383e+002°)
1.73780082874935e+000	(-3.02747562301852e+001dB,1.34160730328214e+002°)
1.74180687339159e+000	(-3.02440741462320e+001dB,1.34088079592918e+002°)
1.74582215292048e+000	(-3.02134152171062e+001dB,1.34015402134893e+002°)
1.74984668862464e+000	(-3.01827794514925e+001dB,1.33942698263754e+002°)
1.75388050184174e+000	(-3.01521668577982e+001dB,1.33869968289252e+002°)
1.75792361395867e+000	(-3.01215774442675e+001dB,1.33797212521444e+002°)
1.76197604641161e+000	(-3.00910112188497e+001dB,1.33724431270474e+002°)
1.76603782068614e+000	(-3.00604681892657e+001dB,1.33651624846662e+002°)
1.77010895831740e+000	(-3.00299483630631e+001dB,1.33578793560620e+002°)
1.77418948089014e+000	(-2.99994517474812e+001dB,1.33505937722960e+002°)
1.77827941003890e+000	(-2.99689783495472e+001dB,1.33433057644525e+002°)
1.78237876744807e+000	(-2.99385281760588e+001dB,1.33360153636262e+002°)
1.78648757485203e+000	(-2.99081012335700e+001dB,1.33287226009259e+002°)
1.79060585403527e+000	(-2.98776975284175e+001dB,1.33214275074750e+002°)
1.79473362683250e+000	(-2.98473170666735e+001dB,1.33141301144031e+002°)
1.79887091512876e+000	(-2.98169598541939e+001dB,1.33068304528531e+002°)
1.80301774085955e+000	(-2.97866258965901e+001dB,1.32995285539757e+002°)
1.80717412601090e+000	(-2.97563151992262e+001dB,1.32922244489281e+002°)
1.81134009261958e+000	(-2.97260277672411e+001dB,1.32849181688779e+002°)
1.81551566277311e+000	(-2.96957636055649e+001dB,1.32776097450021e+002°)
1.81970085860996e+000	(-2.96655227188210e+001dB,1.32702992084719e+002°)
1.82389570231961e+000	(-2.96353051114672e+001dB,1.32629865904757e+002°)
1.82810021614272e+000	(-2.96051107876662e+001dB,1.32556719221964e+002°)
1.83231442237119e+000	(-2.95749397513824e+001dB,1.32483552348232e+002°)
1.83653834334832e+000	(-2.95447920063230e+001dB,1.32410365595480e+002°)
1.84077200146893e+000	(-2.95146675559569e+001dB,1.32337159275578e+002°)
1.84501541917945e+000	(-2.94845664035464e+001dB,1.32263933700507e+002°)
1.84926861897805e+000	(-2.94544885520546e+001dB,1.32190689182089e+002°)
1.85353162341479e+000	(-2.94244340042623e+001dB,1.32117426032234e+002°)
1.85780445509167e+000	(-2.93944027626759e+001dB,1.32044144562758e+002°)
1.86208713666284e+000	(-2.93643948296114e+001dB,1.31970845085522e+002°)
1.86637969083464e+000	(-2.93344102070807e+001dB,1.31897527912234e+002°)
1.87068214036577e+000	(-2.93044488968932e+001dB,1.31824193354574e+002°)
1.87499450806739e+000	(-2.92745109006381e+001dB,1.31750841724218e+002°)
1.87931681680324e+000	(-2.92445962196322e+001dB,1.31677473332678e+002°)
1.88364908948977e+000	(-2.92147048549860e+001dB,1.31604088491454e+002°)
1.88799134909627e+000	(-2.91848368075407e+001dB,1.31530687511896e+002°)
1.89234361864495e+000	(-2.91549920779064e+001dB,1.31457270705230e+002°)
1.89670592121112e+000	(-2.91251706664672e+001dB,1.31383838382629e+002°)
1.90107827992327e+000	(-2.90953725733828e+001dB,1.31310390855137e+002°)
1.90546071796322e+000	(-2.90655977985242e+001dB,1.31236928433581e+002°)
1.90985325856621e+000	(-2.90358463415633e+001dB,1.31163451428713e+002°)
1.91425592502106e+000	(-2.90061182019471e+001dB,1.31089960151151e+002°)
1.91866874067026e+000	(-2.89764133788705e+001dB,1.31016454911344e+002°)
1.92309172891013e+000	(-2.89467318712478e+001dB,1.30942936019462e+002°)
1.92752491319091e+000	(-2.89170736778298e+001dB,1.30869403785645e+002°)
1.93196831701690e+000	(-2.88874387970847e+001dB,1.30795858519755e+002°)
1.93642196394658e+000	(-2.88578272272445e+001dB,1.30722300531459e+002°)
1.94088587759275e+000	(-2.88282389663268e+001dB,1.30648730130244e+002°)
1.94536008162263e+000	(-2.87986740120940e+001dB,1.30575147625362e+002°)
1.94984459975802e+000	(-2.87691323620777e+001dB,1.30501553325829e+002°)
1.95433945577537e+000	(-2.87396140135571e+001dB,1.30427947540415e+002°)
1.95884467350596e+000	(-2.87101189636210e+001dB,1.30354330577700e+002°)
1.96336027683602e+000	(-2.86806472090789e+001dB,1.30280702745942e+002°)
1.96788628970682e+000	(-2.86511987465199e+001dB,1.30207064353175e+002°)
1.97242273611482e+000	(-2.86217735722789e+001dB,1.30133415707109e+002°)
1.97696964011183e+000	(-2.85923716824925e+001dB,1.30059757115227e+002°)
1.98152702580507e+000	(-2.85629930730300e+001dB,1.29986088884677e+002°)
1.98609491735734e+000	(-2.85336377395535e+001dB,1.29912411322339e+002°)
1.99067333898716e+000	(-2.85043056774725e+001dB,1.29838724734771e+002°)
1.99526231496885e+000	(-2.84749968819418e+001dB,1.29765029428151e+002°)
1.99986186963271e+000	(-2.84457113479519e+001dB,1.29691325708458e+002°)
2.00447202736513e+000	(-2.84164490701660e+001dB,1.29617613881166e+002°)
2.00909281260870e+000	(-2.83872100430953e+001dB,1.29543894251543e+002°)
2.01372424986236e+000	(-2.83579942609769e+001dB,1.29470167124420e+002°)
2.01836636368153e+000	(-2.83288017178136e+001dB,1.29396432804272e+002°)
2.02301917867824e+000	(-2.82996324074047e+001dB,1.29322691595232e+002°)
2.02768271952125e+000	(-2.82704863232763e+001dB,1.29248943800980e+002°)
2.03235701093619e+000	(-2.82413634587677e+001dB,1.29175189724884e+002°)
2.03704207770569e+000	(-2.82122638069431e+001dB,1.29101429669828e+002°)
2.04173794466950e+000	(-2.81831873606863e+001dB,1.29027663938374e+002°)
2.04644463672464e+000	(-2.81541341125993e+001dB,1.28953892832558e+002°)
2.05116217882553e+000	(-2.81251040550932e+001dB,1.28880116654085e+002°)
2.05589059598411e+000	(-2.80960971803237e+001dB,1.28806335704137e+002°)
2.06062991326997e+000	(-2.80671134802262e+001dB,1.28732550283481e+002°)
2.06538015581050e+000	(-2.80381529465366e+001dB,1.28658760692483e+002°)
2.07014134879101e+000	(-2.80092155706872e+001dB,1.28584967230899e+002°)
2.07491351745488e+000	(-2.79803013439719e+001dB,1.28511170198165e+002°)
2.07969668710366e+000	(-2.79514102574025e+001dB,1.28437369893149e+002°)
2.08449088309726e+000	(-2.79225423017736e+001dB,1.28363566614230e+002°)
2.08929613085401e+000	(-2.78936974676766e+001dB,1.28289760659324e+002°)
2.09411245585086e+000	(-2.78648757454333e+001dB,1.28215952325772e+002°)
2.09893988362349e+000	(-2.78360771251757e+001dB,1.28142141910443e+002°)
2.10377843976644e+000	(-2.78073015968081e+001dB,1.28068329709681e+002°)
2.10862814993326e+000	(-2.77785491499929e+001dB,1.27994516019257e+002°)
2.11348903983661e+000	(-2.77498197741822e+001dB,1.27920701134427e+002°)
2.11836113524847e+000	(-2.77211134586048e+001dB,1.27846885349879e+002°)
2.12324446200018e+000	(-2.76924301922657e+001dB,1.27773068959745e+002°)
2.12813904598268e+000	(-2.76637699639327e+001dB,1.27699252257560e+002°)
2.13304491314654e+000	(-2.76351327621890e+001dB,1.27625435536335e+002°)
2.13796208950220e+000	(-2.76065185753494e+001dB,1.27551619088415e+002°)
2.14289060112002e+000	(-2.75779273915401e+001dB,1.27477803205602e+002°)
2.14783047413050e+000	(-2.75493591986741e+001dB,1.27403988179099e+002°)
2.15278173472434e+000	(-2.75208139844027e+001dB,1.27330174299427e+002°)
2.15774440915263e+000	(-2.74922917362155e+001dB,1.27256361856572e+002°)
2.16271852372698e+000	(-2.74637924413514e+001dB,1.27182551139846e+002°)
2.16770410481966e+000	(-2.74353160868121e+001dB,1.27108742437873e+002°)
2.17270117886371e+000	(-2.74068626594389e+001dB,1.27034936038739e+002°)
2.17770977235312e+000	(-2.73784321458030e+001dB,1.26961132229758e+002°)
2.18272991184296e+000	(-2.73500245322871e+001dB,1.26887331297660e+002°)
2.18776162394952e+000	(-2.73216398050822e+001dB,1.26813533528511e+002°)
2.19280493535041e+000	(-2.72932779500913e+001dB,1.26739739207580e+002°)
2.19785987278479e+000	(-2.72649389530845e+001dB,1.26665948619589e+002°)
2.20292646305342e+000	(-2.72366227995719e+001dB,1.26592162048470e+002°)
2.20800473301886e+000	(-2.72083294748814e+001dB,1.26518379777516e+002°)
2.21309470960560e+000	(-2.71800589640899e+001dB,1.26444602089222e+002°)
2.21819641980018e+000	(-2.71518112521025e+001dB,1.26370829265438e+002°)
2.22330989065136e+000	(-2.71235863236030e+001dB,1.26297061587258e+002°)
2.22843514927026e+000	(-2.70953841630519e+001dB,1.26223299335032e+002°)
2.23357222283049e+000	(-2.70672047547276e+001dB,1.26149542788380e+002°)
2.23872113856830e+000	(-2.70390480826623e+001dB,1.26075792226125e+002°)
2.24388192378273e+000	(-2.70109141307260e+001dB,1.26002047926397e+002°)
2.24905460583574e+000	(-2.69828028825733e+001dB,1.25928310166546e+002°)
2.25423921215239e+000	(-2.69547143215990e+001dB,1.25854579223046e+002°)
2.25943577022094e+000	(-2.69266484310842e+001dB,1.25780855371747e+002°)
2.26464430759302e+000	(-2.68986051940341e+001dB,1.25707138887580e+002°)
2.26986485188378e+000	(-2.68705845932746e+001dB,1.25633430044730e+002°)
2.27509743077203e+000	(-2.68425866114427e+001dB,1.25559729116568e+002°)
